employeeid,name,position,ssn
1,Kelly Crawford,Surgeon,841875042
2,Jessica Thomas,Neurologist,405114619
3,Thomas Klein,Cardiologist,974151108
4,Allen Becker,Attending Physician,289358326
5,Katie Campbell,Cardiologist,699825206
6,Marissa Mason,Specialist,905927011
7,Michelle Avila,Cardiologist,482868552
8,Emily Martin,Cardiologist,712634912
9,Heather Hahn,Resident,219444037
10,Ronnie Maynard,Cardiologist,750104878
11,Samantha Fischer,Specialist,516667830
12,Steven Nunez,General Practitioner,508496243
13,Alicia White,Surgeon,321154302
14,Denise Brown,Attending Physician,449467739
15,Dr. Tammy Barnett,Specialist,585243615
16,Troy Williams,Neurologist,377292520
17,Kimberly Fisher,Resident,563246236
18,Jessica Marquez,Specialist,756791972
19,Kenneth Webb,Specialist,227292313
20,Danielle Jones,Resident,383503719
21,Christopher Love,Cardiologist,428774458
22,Sandra Kelly,Attending Physician,603259776
23,Ronald Hodge,Specialist,674167774
24,Joshua Griffin,General Practitioner,534482454
25,Laura Heath,Surgeon,235965943
26,Haley Moore,Attending Physician,375621520
27,Christopher Moore,Specialist,211358104
28,Donna Mills,Specialist,345078564
29,Ryan Berg,Specialist,137042035
30,Sean Ward,Consultant,545465104
31,Laurie Robinson,Neurologist,930715426
32,Michael Guerra,Surgeon,702264901
33,Sydney Martin,Consultant,404842416
34,Victoria Diaz,Cardiologist,543339081
35,Joseph Thomas,Attending Physician,627532637
36,Sarah Jenkins,Attending Physician,738047888
37,Samantha Freeman,Specialist,929231277
38,Aaron Donovan,Surgeon,925282319
39,Ashley Wilson,Surgeon,725766682
40,Mandy Snow,Neurologist,605996167
41,Nathan Lee,Attending Physician,283847367
42,Gloria Vasquez,Attending Physician,218330126
43,Miguel Green,Consultant,755769012
44,Eric Christian,Cardiologist,121300150
45,Sean Barr,Neurologist,320400663
46,Linda Sellers,Neurologist,144114177
47,Beth Gibson,Surgeon,799950685
48,Laura Murphy,Surgeon,926835481
49,Suzanne Brady,Specialist,480316563
50,Rhonda Simmons,Resident,962959681
